apoorv agarwal
kathleen r. mckeown
fadi biadsy
eneko agirre
aitor soroa
oier lópez de lacalle
julien ah-pine
guillaume jacquet
g. elisabeta marai
joshua albrecht
krasimir angelov
marianna apidianaki
james r. glass
ibrahim badr
rabih zbib
amanda j. stent
samuel brody
martin forst
aoife cahill
sandipan dandapat
cohan sujay carlos
monojit choudhury
bruno cartoni
jieun chae
ani nenkova
eugene charniak
micha elsner
mathias creutz
anna kovaleva
sami virpioja
sadao kurohashi
fabien cromierès
dmitry davidov
ari rappoport
matthew stone
david devault
giuseppe riccardi
marco dinarelli
rui wang
georgiana dinu
hagen fürstenau
lijun feng
noémie elhadad
matt huenerfauth
junlan feng
mihai surdeanu
katja filippova
hugo zaragoza
frederick jelinek
keith hall
erin fitzgerald
ji fang
c. mario christoudias
trevor darrell
matthew frampton
patrick ehlen
stanley peters
hinrich schütze
alexander fraser
renjing wang
carlos gómez-rodríguez
david weir
john carroll
david yarowsky
nikesh garera
michael gasser
kevin gimpel
noah a. smith
meni adler
michael elhadad
reut tsarfaty
yoav goldberg
jade goldstein-stewart
roberta sabin
ransom winder
christian fügen
olivier hamon
muntsin kolss
alex waibel
khalid choukri
djamel mostefa
victoria arranz
kazi saidul hasan
vincent ng
altaf rahman
hieu hoang
william byrne
gonzalo iglesias
eduardo r. banga
adrià de gispert
armando suárez
rubén izquierdo
german rigau
katja hofmann
valentin jijkoun
eva klett
erhard w. hinrichs
wolfgang maier
sandra kübler
christof monz
itamar kastner
josé a. r. fonollosa
maxim khalilov
shuly wintner
amit kirschenbaum
étienne ailloud
marco kuhlmann
selçuk köprü
adnan yazıcı
giorgio satta
françois yvon
pierre zweigenbaum
philippe langlais
lieve macken
véronique hoste
els lefever
ioannis konstas
kevin lerman
sasha blair-goldensohn
hrafn loftsson
adam lopez
annie louis
yanjun ma
andy way
shachar mirkin
eyal shnarch
michael mohler
rada mihalcea
ravi kannan
animesh mukherjee
hiroshi nakagawa
takuya matsuzaki
nobuyuki shimizu
joel nothman
tara murphy
diarmuid ó séaghdha
dirk geeraerts
michael wirth
marco pennacchiotti
davood rafiei
deepak ravichandran
delip rao
verena rieser
helmut schmid
hassan sajjad
federico sangati
gabriel skantze
david schlangen
trevor cohn
josh schroeder
katrin schweitzer
arndt riester
antje schweitzer
bernd möbius
michael walsh
matthew simpson
charles sneiderman
george r. thoma
sameer k. antani
dina demner-fushman
caroline sporleder
linlin li
miroslav spousta
drahomíra johanka spoustová
jan hajič
jan raab
xu sun
yoshimasa tsuruoka
saravanan k.
a. kumaran
jagadeesh jagarlamudi
benjamin van durme
lenhart k. schubert
phillip michalak
gertjan van noord
dominiek sandra
bram vandekerckhove
walter daelemans
tony veale
guofu li
yanfen hao
thuy vu
min zhang
aiti aw
cécile l. paris
mark dras
stephen wan
robert dale
justin washtell
fei xia
hoifung poon
william h. lewis
hai zhao
luciana benotti
michel généreux
aurélien bossard
aarne ranta
björn bringert
feiyu xu
hong li
peter adolphs
xiwen cheng
hans uszkoreit
ion androutsopoulos
dimitrios galanis
gerasimos lampouras
george karakatsiotis
tobias feith
dietmar esch
alexander mehler
alexandra ernst
ulli waltinger
rüdiger gleim
haldur õim
mare koit
mans hulden
donna k. byron
kristina striegnitz
justine cassell
dimitris bilidas
prodromos malakasiotis
colin matheson
athanasios tegos
stasinos konstantopoulos
olivier deroo
athina michou
eleni miltsakaki
eirini balta
yutaka sasaki
john mcnaught
paul thompson
jaakko hakulinen
olov stahl
björn gambäck
markku turunen
martin cooke
spyros martzoukos
alexandre klementiev
ivan titov
raffaella bernardi
ngoc-quynh do
chung-chieh shan
jackie chi kit cheung
evelina andersson
richárd farkas
veronika vincze
daniel fernã¡ndez-gonzã¡lez
jonas kuhn
bernd bohnet
michael kaisser
alejandro figueroa
